P.1.1	5.400	0.001	0.000	0.001	-3.733	-0.987	0.233	-0.000	-0.000	enhetslast
P.1.1	5.500	0.001	0.000	0.001	-3.780	-0.987	0.229	-0.000	-0.000	enhetslast
P.1.1	5.600	0.001	0.000	0.001	-3.826	-0.987	0.226	-0.000	-0.000	enhetslast
P.1.1	5.700	0.001	0.000	0.001	-3.873	-0.987	0.222	-0.000	-0.000	enhetslast
P.1.1	5.800	0.001	0.000	0.001	-3.915	-0.987	0.219	-0.000	-0.000	enhetslast
P.1.1	5.900	0.001	0.000	0.001	-3.953	-0.987	0.215	-0.000	-0.000	enhetslast
P.1.1	6.000	0.001	0.000	0.001	-3.992	-0.987	0.211	-0.000	-0.000	enhetslast
P.1.1	6.100	0.001	0.000	0.001	-4.031	-0.987	0.208	-0.000	-0.000	enhetslast
P.1.1	6.200	0.001	0.000	0.000	-4.068	-0.987	0.203	-0.000	-0.000	enhetslast
P.1.1	6.300	0.001	0.000	0.000	-4.104	-0.987	0.196	-0.000	-0.000	enhetslast
P.1.1	6.400	0.001	0.000	0.000	-4.143	-0.987	0.193	-0.000	-0.000	enhetslast
P.1.1	6.500	0.001	0.000	0.000	-4.182	-0.987	0.189	-0.000	-0.000	enhetslast
P.1.1	6.600	0.001	0.000	0.000	-4.221	-0.987	0.186	-0.000	-0.000	enhetslast
P.1.1	6.700	0.000	0.000	0.000	-4.259	-0.987	0.182	-0.000	-0.000	enhetslast
P.1.1	6.800	0.000	0.000	0.000	-4.290	-0.987	0.178	-0.000	-0.000	enhetslast
P.1.1	6.900	0.000	0.000	0.000	-4.322	-0.987	0.174	-0.000	-0.000	enhetslast
P.1.1	7.000	0.000	0.000	0.000	-4.353	-0.987	0.171	-0.000	-0.000	enhetslast
P.1.1	7.100	0.000	0.000	0.000	-4.384	-0.987	0.167	-0.000	-0.000	enhetslast
P.1.1	7.200	0.000	0.000	0.000	-4.412	-0.986	0.160	-0.000	-0.000	enhetslast
P.1.1	7.300	0.000	0.000	0.000	-4.442	-0.986	0.155	-0.000	-0.000	enhetslast
P.1.1	7.400	0.000	0.000	0.000	-4.474	-0.986	0.152	-0.000	-0.000	enhetslast
P.1.1	7.500	0.000	0.000	0.000	-4.505	-0.986	0.148	-0.000	-0.000	enhetslast
P.1.1	7.600	0.000	0.000	0.000	-4.537	-0.986	0.144	-0.000	-0.000	enhetslast
P.1.1	7.700	0.000	0.000	0.000	-4.564	-0.986	0.141	-0.000	-0.000	enhetslast
P.1.1	7.800	0.000	0.000	0.000	-4.588	-0.986	0.137	-0.000	-0.000	enhetslast
P.1.1	7.900	0.000	0.000	0.000	-4.611	-0.986	0.133	-0.000	-0.000	enhetslast
P.1.1	8.000	0.000	0.000	0.000	-4.635	-0.986	0.129	-0.000	-0.000	enhetslast
P.1.1	8.100	0.000	0.000	0.000	-4.658	-0.986	0.125	-0.000	-0.000	enhetslast
P.1.1	8.200	0.000	0.000	0.000	-4.679	-0.986	0.118	-0.000	-0.000	enhetslast
P.1.1	8.300	0.000	0.000	0.000	-4.702	-0.986	0.114	-0.000	-0.000	enhetslast
P.1.1	8.400	0.000	0.000	0.000	-4.726	-0.986	0.110	-0.000	-0.000	enhetslast
P.1.1	8.500	0.000	0.000	0.000	-4.749	-0.986	0.106	-0.000	-0.000	enhetslast
P.1.1	8.600	0.000	0.000	0.000	-4.773	-0.986	0.102	-0.000	-0.000	enhetslast
P.1.1	8.700	0.000	0.000	0.000	-4.790	-0.986	0.099	-0.000	-0.000	enhetslast
P.1.1	8.800	0.000	0.000	0.000	-4.805	-0.986	0.095	-0.000	-0.000	enhetslast
P.1.1	8.900	0.000	0.000	0.000	-4.821	-0.986	0.091	-0.000	-0.000	enhetslast
P.1.1	9.000	0.000	0.000	0.000	-4.837	-0.986	0.087	-0.000	-0.000	enhetslast
P.1.1	9.100	0.000	0.000	0.000	-4.851	-0.986	0.081	-0.000	-0.000	enhetslast
P.1.1	9.200	0.000	0.000	0.000	-4.866	-0.986	0.075	-0.000	-0.000	enhetslast
P.1.1	9.300	0.000	0.000	0.000	-4.882	-0.986	0.072	-0.000	-0.000	enhetslast
P.1.1	9.400	0.000	0.000	0.000	-4.898	-0.986	0.068	-0.000	-0.000	enhetslast
P.1.1	9.500	0.000	0.000	0.000	-4.913	-0.986	0.064	-0.000	-0.000	enhetslast
P.1.1	9.600	0.000	0.000	0.000	-4.926	-0.986	0.060	-0.000	-0.000	enhetslast
P.1.1	9.700	-0.000	0.000	0.000	-4.934	-0.986	0.056	-0.000	-0.000	enhetslast
P.1.1	9.800	-0.000	0.000	0.000	-4.942	-0.986	0.052	-0.000	-0.000	enhetslast
P.1.1	9.900	-0.000	0.000	0.000	-4.950	-0.986	0.049	-0.000	-0.000	enhetslast
P.1.1	10.000	-0.000	0.000	0.000	-4.958	-0.986	0.044	-0.000	-0.000	enhetslast
P.1.1	10.100	-0.000	0.000	0.000	-4.965	-0.986	0.037	-0.000	-0.000	enhetslast
P.1.1	10.200	-0.000	0.000	0.000	-4.973	-0.986	0.033	-0.000	-0.000	enhetslast
P.1.1	10.300	-0.000	0.000	0.000	-4.981	-0.986	0.029	-0.000	-0.000	enhetslast
P.1.1	10.400	-0.000	0.000	0.000	-4.989	-0.986	0.025	-0.000	-0.000	enhetslast
P.1.1	10.500	-0.000	0.000	0.000	-4.996	-0.986	0.021	-0.000	-0.000	enhetslast
P.1.1	10.600	-0.000	0.000	0.000	-4.998	-0.986	0.017	-0.000	-0.000	enhetslast
P.1.1	10.700	-0.000	0.000	0.000	-4.998	-0.986	0.014	-0.000	-0.000	enhetslast
P.1.1	10.800	-0.000	0.000	0.000	-4.998	-0.986	0.010	-0.000	-0.000	enhetslast
P.1.1	10.900	-0.000	0.000	0.000	-4.998	-0.986	0.006	0.000	-0.000	enhetslast
P.1.1	11.000	-0.000	0.000	0.000	-4.998	-0.986	-0.000	-0.000	-0.000	enhetslast
P.1.1	11.100	-0.000	0.000	-0.000	-4.998	-0.986	-0.006	-0.000	-0.000	enhetslast
P.1.1	11.200	-0.000	0.000	-0.000	-4.998	-0.986	-0.010	0.000	-0.000	enhetslast
P.1.1	11.300	-0.000	0.000	-0.000	-4.998	-0.986	-0.014	0.000	-0.000	enhetslast
P.1.1	11.400	-0.000	0.000	-0.000	-4.998	-0.986	-0.017	0.000	-0.000	enhetslast
P.1.1	11.500	-0.000	0.000	-0.000	-4.996	-0.986	-0.021	0.000	-0.000	enhetslast
P.1.1	11.600	-0.000	0.000	-0.000	-4.989	-0.986	-0.025	0.000	-0.000	enhetslast
P.1.1	11.700	-0.000	0.000	-0.000	-4.981	-0.986	-0.029	0.000	-0.000	enhetslast
P.1.1	11.800	-0.000	0.000	-0.000	-4.973	-0.986	-0.033	0.000	-0.000	enhetslast
P.1.1	11.900	-0.000	0.000	-0.000	-4.965	-0.986	-0.037	0.000	-0.000	enhetslast
P.1.1	12.000	-0.000	0.000	-0.000	-4.958	-0.986	-0.044	0.000	-0.000	enhetslast
P.1.1	12.100	-0.000	0.000	-0.000	-4.950	-0.986	-0.049	0.000	-0.000	enhetslast
P.1.1	12.200	-0.000	0.000	-0.000	-4.942	-0.986	-0.052	0.000	-0.000	enhetslast
P.1.1	12.300	-0.000	0.000	-0.000	-4.934	-0.986	-0.056	0.000	-0.000	enhetslast
P.1.1	12.400	0.000	0.000	-0.000	-4.926	-0.986	-0.060	0.000	-0.000	enhetslast
P.1.1	12.500	0.000	0.000	-0.000	-4.913	-0.986	-0.064	0.000	-0.000	enhetslast
P.1.1	12.600	0.000	0.000	-0.000	-4.898	-0.986	-0.068	0.000	-0.000	enhetslast
